tandem_id;matching_datum;tandem_gebildet_2026;inhaltlich_passend
T001;02.02.2026;ja;ja
T002;03.02.2026;ja;ja
T003;04.02.2026;ja;ja
T004;05.02.2026;ja;ja
T005;06.02.2026;ja;ja
T006;07.02.2026;ja;ja
T007;08.02.2026;ja;ja
T008;09.02.2026;ja;ja
T009;10.02.2026;ja;ja
T010;11.02.2026;ja;ja
T011;12.02.2026;ja;ja
T012;13.02.2026;ja;ja
T013;14.02.2026;ja;ja
T014;15.02.2026;ja;ja
T015;16.02.2026;ja;ja
T016;17.02.2026;ja;ja
T017;18.02.2026;ja;ja
T018;19.02.2026;ja;ja
T019;20.02.2026;ja;ja
T020;21.02.2026;ja;ja
T021;22.02.2026;ja;ja
T022;23.02.2026;ja;ja
T023;24.02.2026;ja;ja
T024;25.02.2026;ja;ja
T025;26.02.2026;ja;ja
T026;27.02.2026;ja;ja
T027;28.02.2026;ja;ja
T028;01.03.2026;ja;ja
T029;02.02.2026;ja;ja
T030;03.02.2026;ja;ja
T031;04.02.2026;ja;ja
T032;05.02.2026;ja;ja
T033;06.02.2026;ja;ja
T034;07.02.2026;ja;ja
T035;08.02.2026;ja;ja
T036;09.02.2026;ja;ja
T037;10.02.2026;ja;ja
T038;11.02.2026;ja;ja
T039;12.02.2026;ja;ja
T040;13.02.2026;ja;ja
T041;14.02.2026;ja;ja
T042;15.02.2026;ja;ja
T043;16.02.2026;ja;ja
T044;17.02.2026;ja;ja
T045;18.02.2026;ja;ja
T046;19.02.2026;ja;ja
T047;20.02.2026;ja;ja
T048;21.02.2026;ja;ja
T049;22.02.2026;ja;ja
T050;23.02.2026;ja;ja
T051;24.02.2026;ja;ja
T052;25.02.2026;ja;ja
T053;26.02.2026;ja;ja
T054;27.02.2026;ja;ja
T055;28.02.2026;ja;ja
T056;01.03.2026;ja;ja
T057;02.02.2026;ja;ja
T058;03.02.2026;ja;ja
T059;04.02.2026;ja;ja
T060;05.02.2026;ja;ja
T061;06.02.2026;ja;ja
T062;07.02.2026;ja;ja
T063;08.02.2026;ja;ja
T064;09.02.2026;ja;ja
T065;10.02.2026;ja;ja
T066;11.02.2026;ja;ja
T067;12.02.2026;ja;ja
T068;13.02.2026;ja;ja
T069;14.02.2026;ja;ja
T070;15.02.2026;ja;ja
T071;16.02.2026;ja;ja
T072;17.02.2026;ja;ja
T073;18.02.2026;ja;ja
T074;19.02.2026;ja;ja
T075;20.02.2026;ja;ja
T076;21.02.2026;ja;ja
T077;22.02.2026;ja;ja
T078;23.02.2026;ja;ja
T079;24.02.2026;ja;ja
T080;25.02.2026;ja;ja
T081;26.02.2026;ja;ja
T082;27.02.2026;ja;ja
T083;28.02.2026;ja;ja
T084;01.03.2026;ja;ja
T085;02.02.2026;ja;ja
T086;03.02.2026;ja;ja
T087;04.02.2026;ja;ja
T088;05.02.2026;ja;ja
T089;06.02.2026;ja;ja
T090;07.02.2026;ja;ja
T091;08.02.2026;ja;ja
T092;09.02.2026;ja;ja
T093;10.02.2026;ja;ja
T094;11.02.2026;ja;ja
T095;12.02.2026;ja;ja
T096;13.02.2026;ja;ja
T097;14.02.2026;ja;ja
T098;15.02.2026;ja;ja
T099;16.02.2026;ja;ja
T100;17.02.2026;ja;ja
T101;18.02.2026;ja;ja
T102;19.02.2026;ja;ja
T103;20.02.2026;ja;ja
T104;21.02.2026;ja;ja
T105;22.02.2026;ja;ja
T106;23.02.2026;ja;ja
T107;24.02.2026;ja;ja
T108;25.02.2026;ja;ja
T109;26.02.2026;ja;ja
T110;27.02.2026;ja;ja
T111;28.02.2026;ja;ja
T112;01.03.2026;ja;ja
T113;02.02.2026;ja;ja
T114;03.02.2026;ja;ja
T115;04.02.2026;ja;ja
T116;05.02.2026;ja;ja
T117;06.02.2026;ja;ja
T118;07.02.2026;ja;ja
T119;08.02.2026;ja;ja
T120;09.02.2026;ja;ja
T121;10.02.2026;ja;ja
T122;11.02.2026;ja;ja
T123;12.02.2026;ja;ja
T124;13.02.2026;ja;ja
T125;14.02.2026;ja;ja
T126;15.02.2026;ja;ja
T127;16.02.2026;ja;ja
T128;17.02.2026;ja;ja
T129;18.02.2026;ja;ja
T130;19.02.2026;ja;ja
