treffen_id;tandem_id;datum;dauer_minuten;ort;thema;dokumentiert_von;naechster_schritt;teilnahme_jugendliche;teilnahme_mentor
TR0001;T002;28.04.2026;60;zuhause bei Mentor:in;Zukunftspläne;Jugendliche/r;nichts Konkretes vereinbart;ja;ja
TR0002;T002;27.05.2026;90;Park;Praktikumssuche;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;ja
TR0003;T003;01.05.2026;60;Bibliothek;Berufsorientierung allgemein;Jugendliche/r;nichts Konkretes vereinbart;ja;ja
TR0004;T003;26.06.2026;60;Bibliothek;freies Gespräch;Mentor:in;nichts Konkretes vereinbart;ja;nein, verschoben
TR0005;T005;14.04.2026;60;Jugendzentrum;Kennenlernen;Mentor:in;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;nein, verschoben
TR0006;T005;17.06.2026;120;Jugendzentrum;gemeinsamer Spaziergang;Jugendliche/r;Kontakt zu Unternehmen X herstellen;ja;ja
TR0007;T006;18.04.2026;45;Park;Zukunftspläne;Mentor:in;Kontakt zu Unternehmen X herstellen;nein, abgesagt;ja
TR0008;T006;16.05.2026;120;Park;Lebenslauf besprochen;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;ja
TR0009;T006;01.06.2026;60;Jugendzentrum;Vorbereitung Vorstellungsgespräch;Mentor:in;gemeinsam Lebenslauf fertigstellen;ja;nein, verschoben
TR0010;T007;16.04.2026;120;online (Video-Call);Lebenslauf besprochen;Koordination (telefonisch berichtet);;ja;ja
TR0011;T007;16.05.2026;90;Park;Lebenslauf besprochen;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;ja;nein, verschoben
TR0012;T007;21.06.2026;45;zuhause bei Mentor:in;Praktikumssuche;Jugendliche/r;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja
TR0013;T009;13.04.2026;60;Bibliothek;gemeinsamer Spaziergang;Koordination (telefonisch berichtet);nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja
TR0014;T009;15.05.2026;45;online (Video-Call);Kennenlernen;Mentor:in;nichts Konkretes vereinbart;nein, abgesagt;ja
TR0015;T010;18.04.2026;;Café;Lebenslauf besprochen;Koordination (telefonisch berichtet);gemeinsam Lebenslauf fertigstellen;ja;nein, verschoben
TR0016;T010;10.06.2026;60;online (Video-Call);Kennenlernen;Koordination (telefonisch berichtet);nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja
