treffen_id;tandem_id;datum;treffen_durchgefuehrt
TR00001;T001;10.04.2026;ja
TR00002;T001;24.04.2026;ja
TR00003;T001;08.05.2026;ja
TR00004;T001;05.06.2026;ja
TR00005;T001;26.06.2026;ja
TR00011;T002;11.04.2026;ja
TR00012;T002;25.04.2026;ja
TR00013;T002;09.05.2026;ja
TR00014;T002;06.06.2026;ja
TR00015;T002;27.06.2026;ja
TR00021;T003;12.04.2026;ja
TR00022;T003;26.04.2026;ja
TR00023;T003;10.05.2026;ja
TR00024;T003;07.06.2026;ja
TR00025;T003;28.06.2026;ja
TR00031;T004;13.04.2026;ja
TR00032;T004;27.04.2026;ja
TR00033;T004;11.05.2026;ja
TR00034;T004;08.06.2026;ja
TR00035;T004;29.06.2026;ja
TR00041;T005;14.04.2026;ja
TR00042;T005;28.04.2026;ja
TR00043;T005;12.05.2026;ja
TR00044;T005;09.06.2026;ja
TR00045;T005;30.06.2026;ja
TR00051;T006;10.04.2026;ja
TR00052;T006;24.04.2026;ja
TR00053;T006;08.05.2026;ja
TR00054;T006;05.06.2026;ja
TR00055;T006;26.06.2026;ja
TR00061;T007;11.04.2026;ja
TR00062;T007;25.04.2026;ja
TR00063;T007;09.05.2026;ja
TR00064;T007;06.06.2026;ja
TR00065;T007;27.06.2026;ja
TR00071;T008;12.04.2026;ja
TR00072;T008;26.04.2026;ja
TR00073;T008;10.05.2026;ja
TR00074;T008;07.06.2026;ja
TR00075;T008;28.06.2026;ja
TR00081;T009;13.04.2026;ja
TR00082;T009;27.04.2026;ja
TR00083;T009;11.05.2026;ja
TR00084;T009;08.06.2026;ja
TR00085;T009;29.06.2026;ja
TR00091;T010;14.04.2026;ja
TR00092;T010;28.04.2026;ja
TR00093;T010;12.05.2026;ja
TR00094;T010;09.06.2026;ja
TR00095;T010;30.06.2026;ja
TR00101;T011;10.04.2026;ja
TR00102;T011;24.04.2026;ja
TR00103;T011;08.05.2026;ja
TR00104;T011;05.06.2026;ja
TR00105;T011;26.06.2026;ja
TR00111;T012;11.04.2026;ja
TR00112;T012;25.04.2026;ja
TR00113;T012;09.05.2026;ja
TR00114;T012;06.06.2026;ja
TR00115;T012;27.06.2026;ja
TR00121;T013;12.04.2026;ja
TR00122;T013;26.04.2026;ja
TR00123;T013;10.05.2026;ja
TR00124;T013;07.06.2026;ja
TR00125;T013;28.06.2026;ja
TR00131;T014;13.04.2026;ja
TR00132;T014;27.04.2026;ja
TR00133;T014;11.05.2026;ja
TR00134;T014;08.06.2026;ja
TR00135;T014;29.06.2026;ja
TR00141;T015;14.04.2026;ja
