workshop_id;datum;thema;jugend_id;anwesend;checkin_zeit;feedback_abgegeben
W01;14.03.2026;Lebenslauf schreiben;J121;nein - krank;10:10;ja
W01;14.03.2026;Lebenslauf schreiben;J144;ja;;nein
W01;14.03.2026;Lebenslauf schreiben;J115;ja;10:22;ja
W01;14.03.2026;Lebenslauf schreiben;J047;verspätet;10:10;ja
W01;14.03.2026;Lebenslauf schreiben;J151;ja;10:03;ja
W01;14.03.2026;Lebenslauf schreiben;J158;ja;10:03;nein
W01;14.03.2026;Lebenslauf schreiben;J150;ja;10:10;nein
W01;14.03.2026;Lebenslauf schreiben;J055;nein - krank;10:10;ja
W01;14.03.2026;Lebenslauf schreiben;J063;ja;09:58;ja
W01;14.03.2026;Lebenslauf schreiben;J100;nein - krank;09:58;ja
W01;14.03.2026;Lebenslauf schreiben;J007;ja;09:58;ja
W01;14.03.2026;Lebenslauf schreiben;J110;verspätet;09:58;nein
W01;14.03.2026;Lebenslauf schreiben;J136;ja;10:00;ja
W01;14.03.2026;Lebenslauf schreiben;J111;ja;09:58;nein
W01;14.03.2026;Lebenslauf schreiben;J030;nein - krank;10:03;ja
W01;14.03.2026;Lebenslauf schreiben;J125;ja;10:10;nein
W01;14.03.2026;Lebenslauf schreiben;J068;ja;10:22;nein
W01;14.03.2026;Lebenslauf schreiben;J015;ja;10:22;ja
W01;14.03.2026;Lebenslauf schreiben;J073;ja;10:22;ja
W01;14.03.2026;Lebenslauf schreiben;J089;nein - krank;10:22;ja
W01;14.03.2026;Lebenslauf schreiben;J175;ja;;nein
W01;14.03.2026;Lebenslauf schreiben;J126;nein - krank;09:58;ja
W01;14.03.2026;Lebenslauf schreiben;J901;ja;10:22;ja
W01;14.03.2026;Lebenslauf schreiben;J083;nein - krank;10:10;ja
W01;14.03.2026;Lebenslauf schreiben;J034;ja;10:22;ja
W01;14.03.2026;Lebenslauf schreiben;J084;verspätet;10:10;ja
W01;14.03.2026;Lebenslauf schreiben;J130;verspätet;;ja
W01;14.03.2026;Lebenslauf schreiben;J902;ja;10:22;nein
W01;14.03.2026;Lebenslauf schreiben;J092;nein - krank;10:10;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J172;nein - krank;;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J129;ja;;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J903;ja;09:58;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J052;verspätet;10:10;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J063;ja;09:58;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J069;ja;10:00;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J098;ja;10:03;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J016;ja;09:58;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J169;verspätet;10:10;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J131;verspätet;10:03;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J090;ja;;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J904;ja;10:10;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J009;verspätet;10:22;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J024;verspätet;10:22;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J013;verspätet;;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J145;ja;10:00;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J179;ja;10:10;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J097;ja;09:58;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J114;verspätet;10:03;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J151;ja;10:22;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J050;ja;09:58;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J072;ja;10:22;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J079;verspätet;10:10;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J136;ja;;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J094;ja;10:00;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J064;ja;10:10;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J076;ja;09:58;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J060;ja;09:58;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J049;nein - krank;10:22;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J152;nein - krank;10:10;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J070;nein - krank;10:00;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J087;verspätet;10:00;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J042;ja;;ja
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J104;nein - krank;10:03;nein
W02;28.03.2026;Anschreiben & Bewerbungsunterlagen;J905;verspätet;09:58;nein
W03;18.04.2026;Vorstellungsgespräch üben;J014;nein - krank;10:03;nein
W03;18.04.2026;Vorstellungsgespräch üben;J166;ja;10:00;ja
W03;18.04.2026;Vorstellungsgespräch üben;J906;ja;10:22;nein
W03;18.04.2026;Vorstellungsgespräch üben;J107;ja;09:58;ja
W03;18.04.2026;Vorstellungsgespräch üben;J079;ja;10:00;ja
W03;18.04.2026;Vorstellungsgespräch üben;J017;verspätet;;nein
W03;18.04.2026;Vorstellungsgespräch üben;J105;ja;10:22;ja
W03;18.04.2026;Vorstellungsgespräch üben;J023;ja;10:03;ja
W03;18.04.2026;Vorstellungsgespräch üben;J178;ja;10:22;ja
W03;18.04.2026;Vorstellungsgespräch üben;J020;nein - krank;;nein
W03;18.04.2026;Vorstellungsgespräch üben;J163;ja;10:22;ja
W03;18.04.2026;Vorstellungsgespräch üben;J169;ja;10:10;nein
W03;18.04.2026;Vorstellungsgespräch üben;J907;ja;10:10;nein
W03;18.04.2026;Vorstellungsgespräch üben;J152;verspätet;09:58;nein
W03;18.04.2026;Vorstellungsgespräch üben;J050;ja;10:22;ja
W03;18.04.2026;Vorstellungsgespräch üben;J142;verspätet;10:22;nein
W03;18.04.2026;Vorstellungsgespräch üben;J133;ja;10:22;nein
W03;18.04.2026;Vorstellungsgespräch üben;J076;ja;10:10;nein
W03;18.04.2026;Vorstellungsgespräch üben;J120;ja;09:58;nein
W03;18.04.2026;Vorstellungsgespräch üben;J025;ja;10:22;ja
W03;18.04.2026;Vorstellungsgespräch üben;J070;verspätet;10:22;ja
W03;18.04.2026;Vorstellungsgespräch üben;J006;ja;09:58;nein
W03;18.04.2026;Vorstellungsgespräch üben;J100;ja;09:58;nein
W03;18.04.2026;Vorstellungsgespräch üben;J065;ja;10:00;ja
W03;18.04.2026;Vorstellungsgespräch üben;J042;ja;;nein
W03;18.04.2026;Vorstellungsgespräch üben;J124;nein - krank;10:10;nein
W03;18.04.2026;Vorstellungsgespräch üben;J177;ja;10:10;nein
W03;18.04.2026;Vorstellungsgespräch üben;J055;ja;10:22;ja
W03;18.04.2026;Vorstellungsgespräch üben;J121;nein - krank;10:00;nein
W03;18.04.2026;Vorstellungsgespräch üben;J138;nein - krank;;ja
W03;18.04.2026;Vorstellungsgespräch üben;J029;nein - krank;10:03;ja
W03;18.04.2026;Vorstellungsgespräch üben;J176;ja;10:10;ja
W03;18.04.2026;Vorstellungsgespräch üben;J033;ja;;ja
W03;18.04.2026;Vorstellungsgespräch üben;J153;nein - krank;10:03;nein
W04;09.05.2026;Stärken erkennen;J175;ja;10:10;nein
W04;09.05.2026;Stärken erkennen;J908;verspätet;09:58;nein
W04;09.05.2026;Stärken erkennen;J007;ja;10:10;ja
W04;09.05.2026;Stärken erkennen;J044;ja;09:58;nein
W04;09.05.2026;Stärken erkennen;J009;ja;;ja
W04;09.05.2026;Stärken erkennen;J075;ja;10:22;nein
W04;09.05.2026;Stärken erkennen;J074;ja;10:00;ja
W04;09.05.2026;Stärken erkennen;J059;verspätet;09:58;nein
W04;09.05.2026;Stärken erkennen;J169;ja;10:00;ja
W04;09.05.2026;Stärken erkennen;J909;ja;10:00;nein
W04;09.05.2026;Stärken erkennen;J107;verspätet;10:10;ja
W04;09.05.2026;Stärken erkennen;J104;verspätet;10:03;nein
W04;09.05.2026;Stärken erkennen;J013;ja;10:22;ja
W04;09.05.2026;Stärken erkennen;J133;verspätet;;ja
W04;09.05.2026;Stärken erkennen;J110;ja;10:00;nein
W04;09.05.2026;Stärken erkennen;J171;ja;10:10;ja
W04;09.05.2026;Stärken erkennen;J027;ja;10:03;ja
W04;09.05.2026;Stärken erkennen;J024;ja;10:22;nein
W04;09.05.2026;Stärken erkennen;J052;verspätet;10:22;ja
W04;09.05.2026;Stärken erkennen;J136;verspätet;10:00;ja
W04;09.05.2026;Stärken erkennen;J094;ja;10:00;ja
W04;09.05.2026;Stärken erkennen;J135;ja;09:58;ja
W04;09.05.2026;Stärken erkennen;J003;ja;10:22;ja
W04;09.05.2026;Stärken erkennen;J166;nein - krank;10:00;ja
W04;09.05.2026;Stärken erkennen;J103;ja;10:22;ja
W04;09.05.2026;Stärken erkennen;J154;ja;10:00;nein
W04;09.05.2026;Stärken erkennen;J035;nein - krank;10:22;nein
W04;09.05.2026;Stärken erkennen;J072;ja;10:10;nein
W04;09.05.2026;Stärken erkennen;J025;verspätet;09:58;ja
W04;09.05.2026;Stärken erkennen;J101;ja;09:58;nein
W04;09.05.2026;Stärken erkennen;J096;ja;10:10;ja
W04;09.05.2026;Stärken erkennen;J910;nein - krank;;nein
W04;09.05.2026;Stärken erkennen;J911;ja;10:22;nein
W04;09.05.2026;Stärken erkennen;J912;nein - krank;;nein
W04;09.05.2026;Stärken erkennen;J913;ja;10:00;nein
W04;09.05.2026;Stärken erkennen;J029;nein - krank;10:00;nein
W04;09.05.2026;Stärken erkennen;J134;verspätet;09:58;nein
W04;09.05.2026;Stärken erkennen;J077;verspätet;09:58;nein
W04;09.05.2026;Stärken erkennen;J012;ja;10:00;nein
W05;23.05.2026;Kommunikation & Auftreten;J133;nein - krank;09:58;ja
W05;23.05.2026;Kommunikation & Auftreten;J140;verspätet;10:22;ja
W05;23.05.2026;Kommunikation & Auftreten;J057;ja;10:03;ja
W05;23.05.2026;Kommunikation & Auftreten;J097;ja;;ja
W05;23.05.2026;Kommunikation & Auftreten;J011;ja;;nein
W05;23.05.2026;Kommunikation & Auftreten;J143;verspätet;09:58;nein
W05;23.05.2026;Kommunikation & Auftreten;J176;ja;;ja
W05;23.05.2026;Kommunikation & Auftreten;J124;ja;10:03;nein
W05;23.05.2026;Kommunikation & Auftreten;J914;verspätet;;nein
W05;23.05.2026;Kommunikation & Auftreten;J152;verspätet;10:10;ja
W05;23.05.2026;Kommunikation & Auftreten;J019;ja;10:22;nein
W05;23.05.2026;Kommunikation & Auftreten;J006;ja;10:00;nein
W05;23.05.2026;Kommunikation & Auftreten;J063;ja;;nein
W05;23.05.2026;Kommunikation & Auftreten;J034;ja;10:22;ja
W05;23.05.2026;Kommunikation & Auftreten;J121;ja;10:22;ja
W05;23.05.2026;Kommunikation & Auftreten;J053;ja;;nein
W05;23.05.2026;Kommunikation & Auftreten;J025;ja;09:58;nein
W05;23.05.2026;Kommunikation & Auftreten;J015;verspätet;10:03;ja
W05;23.05.2026;Kommunikation & Auftreten;J064;ja;09:58;ja
W05;23.05.2026;Kommunikation & Auftreten;J154;verspätet;;ja
W05;23.05.2026;Kommunikation & Auftreten;J178;nein - krank;10:03;ja
W05;23.05.2026;Kommunikation & Auftreten;J012;ja;10:03;nein
W05;23.05.2026;Kommunikation & Auftreten;J005;nein - krank;10:00;nein
W05;23.05.2026;Kommunikation & Auftreten;J069;verspätet;10:03;ja
W05;23.05.2026;Kommunikation & Auftreten;J029;nein - krank;09:58;ja
W05;23.05.2026;Kommunikation & Auftreten;J092;ja;10:10;ja
W05;23.05.2026;Kommunikation & Auftreten;J047;ja;;nein
W05;23.05.2026;Kommunikation & Auftreten;J020;verspätet;;nein
W05;23.05.2026;Kommunikation & Auftreten;J110;verspätet;10:10;nein
W05;23.05.2026;Kommunikation & Auftreten;J104;verspätet;;nein
W05;23.05.2026;Kommunikation & Auftreten;J100;nein - krank;10:10;ja
W05;23.05.2026;Kommunikation & Auftreten;J030;ja;10:10;nein
W05;23.05.2026;Kommunikation & Auftreten;J163;ja;10:00;ja
W05;23.05.2026;Kommunikation & Auftreten;J094;ja;09:58;ja
W05;23.05.2026;Kommunikation & Auftreten;J008;ja;09:58;nein
W05;23.05.2026;Kommunikation & Auftreten;J142;ja;10:10;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J057;verspätet;10:22;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J132;verspätet;10:22;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J111;ja;10:22;ja
