befragung_typ;zielgruppe;teilnehmer_id;befragung_status;antwort_datum;soziale_einbindung_mentoring_kontext_abschluss_1_5;selbstwirksamkeit_mentorinnenrolle_abschluss_1_5;weiter_mentorieren_wollen_abschluss_1_5
abschluss;mentorinnen;M001;abgeschlossen;2026-11-06;4;4;4
abschluss;mentorinnen;M002;abgeschlossen;2026-11-07;4;4;4
abschluss;mentorinnen;M003;abgeschlossen;2026-11-08;4;4;4
abschluss;mentorinnen;M004;abgeschlossen;2026-11-09;4;4;5
abschluss;mentorinnen;M005;abgeschlossen;2026-11-10;4;5;4
abschluss;mentorinnen;M006;abgeschlossen;2026-11-11;5;4;4
abschluss;mentorinnen;M007;abgeschlossen;2026-11-12;4;4;4
abschluss;mentorinnen;M008;abgeschlossen;2026-11-13;4;4;5
abschluss;mentorinnen;M009;abgeschlossen;2026-11-14;4;4;4
abschluss;mentorinnen;M010;abgeschlossen;2026-11-15;4;5;4
abschluss;mentorinnen;M011;abgeschlossen;2026-11-16;4;4;4
abschluss;mentorinnen;M012;abgeschlossen;2026-11-17;5;4;5
abschluss;mentorinnen;M013;abgeschlossen;2026-11-18;4;4;4
abschluss;mentorinnen;M014;abgeschlossen;2026-11-19;4;4;4
abschluss;mentorinnen;M015;abgeschlossen;2026-11-20;4;5;4
abschluss;mentorinnen;M016;abgeschlossen;2026-11-21;4;4;5
abschluss;mentorinnen;M017;abgeschlossen;2026-11-22;4;4;4
abschluss;mentorinnen;M018;abgeschlossen;2026-11-05;5;4;4
abschluss;mentorinnen;M019;abgeschlossen;2026-11-06;4;4;4
abschluss;mentorinnen;M020;abgeschlossen;2026-11-07;4;5;5
abschluss;mentorinnen;M021;abgeschlossen;2026-11-08;4;4;4
abschluss;mentorinnen;M022;abgeschlossen;2026-11-09;4;4;4
abschluss;mentorinnen;M023;abgeschlossen;2026-11-10;4;4;4
abschluss;mentorinnen;M024;abgeschlossen;2026-11-11;5;4;5
abschluss;mentorinnen;M025;abgeschlossen;2026-11-12;4;5;4
abschluss;mentorinnen;M026;abgeschlossen;2026-11-13;4;4;4
abschluss;mentorinnen;M027;abgeschlossen;2026-11-14;4;4;4
abschluss;mentorinnen;M028;abgeschlossen;2026-11-15;4;4;5
abschluss;mentorinnen;M029;abgeschlossen;2026-11-16;4;4;4
abschluss;mentorinnen;M030;abgeschlossen;2026-11-17;5;5;4
abschluss;mentorinnen;M031;abgeschlossen;2026-11-18;4;4;4
abschluss;mentorinnen;M032;abgeschlossen;2026-11-19;4;4;5
abschluss;mentorinnen;M033;abgeschlossen;2026-11-20;4;4;4
abschluss;mentorinnen;M034;abgeschlossen;2026-11-21;4;4;4
abschluss;mentorinnen;M035;abgeschlossen;2026-11-22;4;5;4
abschluss;mentorinnen;M036;abgeschlossen;2026-11-23;4;4;4
abschluss;mentorinnen;M037;abgeschlossen;2026-11-24;4;5;4
abschluss;mentorinnen;M038;abgeschlossen;2026-11-25;4;4;4
