befragung_typ;zielgruppe;teilnehmer_id;befragung_status;antwort_datum;soziale_einbindung_mentoring_kontext_baseline_1_5;selbstwirksamkeit_mentorinnenrolle_baseline_1_5;weiter_mentorieren_wollen_baseline_1_5
baseline;mentorinnen;M001;abgeschlossen;2026-02-10;2;2;2
baseline;mentorinnen;M002;abgeschlossen;2026-02-11;3;3;3
baseline;mentorinnen;M003;abgeschlossen;2026-02-12;3;3;3
baseline;mentorinnen;M004;abgeschlossen;2026-02-13;3;3;3
baseline;mentorinnen;M005;abgeschlossen;2026-02-14;3;3;3
baseline;mentorinnen;M006;abgeschlossen;2026-02-15;3;3;3
baseline;mentorinnen;M007;abgeschlossen;2026-02-16;3;3;2
baseline;mentorinnen;M008;abgeschlossen;2026-02-17;3;3;4
baseline;mentorinnen;M009;abgeschlossen;2026-02-18;3;2;3
baseline;mentorinnen;M010;abgeschlossen;2026-02-19;3;4;2
baseline;mentorinnen;M011;abgeschlossen;2026-02-20;2;3;3
baseline;mentorinnen;M012;abgeschlossen;2026-02-21;4;3;4
baseline;mentorinnen;M013;abgeschlossen;2026-02-22;3;2;2
baseline;mentorinnen;M014;abgeschlossen;2026-02-23;3;3;3
baseline;mentorinnen;M015;abgeschlossen;2026-02-24;3;4;3
baseline;mentorinnen;M016;abgeschlossen;2026-02-25;2;3;3
baseline;mentorinnen;M017;abgeschlossen;2026-02-26;3;2;3
baseline;mentorinnen;M018;abgeschlossen;2026-02-27;4;3;3
baseline;mentorinnen;M019;abgeschlossen;2026-02-28;3;3;2
baseline;mentorinnen;M020;abgeschlossen;2026-03-01;3;4;4
baseline;mentorinnen;M021;abgeschlossen;2026-03-02;2;2;3
baseline;mentorinnen;M022;abgeschlossen;2026-03-03;3;3;2
baseline;mentorinnen;M023;abgeschlossen;2026-03-04;3;3;3
baseline;mentorinnen;M024;abgeschlossen;2026-03-05;4;3;4
baseline;mentorinnen;M025;abgeschlossen;2026-03-06;3;3;2
baseline;mentorinnen;M026;abgeschlossen;2026-03-07;2;3;3
baseline;mentorinnen;M027;abgeschlossen;2026-03-08;3;3;3
baseline;mentorinnen;M028;abgeschlossen;2026-03-09;3;3;3
baseline;mentorinnen;M029;abgeschlossen;2026-03-10;3;2;3
baseline;mentorinnen;M030;abgeschlossen;2026-03-11;4;4;3
baseline;mentorinnen;M031;abgeschlossen;2026-03-12;2;3;2
baseline;mentorinnen;M032;abgeschlossen;2026-03-13;3;3;4
baseline;mentorinnen;M033;abgeschlossen;2026-03-14;3;2;3
baseline;mentorinnen;M034;abgeschlossen;2026-03-15;3;3;2
baseline;mentorinnen;M035;abgeschlossen;2026-03-16;3;4;3
baseline;mentorinnen;M036;abgeschlossen;2026-03-17;2;3;3
baseline;mentorinnen;M037;abgeschlossen;2026-03-18;3;3;2
baseline;mentorinnen;M038;abgeschlossen;2026-03-19;3;3;3
