treffen_id;tandem_id;datum;dauer_minuten;ort;thema;dokumentiert_von;naechster_schritt;teilnahme_jugendliche;teilnahme_mentor;berichtszeitraum;tandem_gebildet_2026;programm_gesamt_tandems_gebildet_2026;treffen_durchgefuehrt;zaehlt_fuer_10_treffen_ziel;kumulierte_durchgefuehrte_treffen_2026;tandem_bisherige_durchgefuehrte_treffen_2026_bis_30_09;zielwert_mindest_treffen_pro_tandem_2026;tandem_geplante_weitere_treffen_bis_31_03_2027;tandem_erwartete_treffen_innerhalb_eines_jahres;ziel_output_90_prozent_tandems_10_treffen_unterstuetzt;karriereschritt_evidenz;karriereschritt_typ;ziel_outcome_80_prozent_karriereschritte_unterstuetzt;jugendliche_mehr_selbstvertrauen_beobachtet;ziel_outcome_100_prozent_mehr_selbstvertrauen_unterstuetzt;jugendliche_selbstwirksamkeit_basiswert_1_5;jugendliche_selbstwirksamkeit_aktueller_wert_1_5;selbstwirksamkeit_verbesserung_prozent;ziel_outcome_selbstwirksamkeit_plus_20_prozent_unterstuetzt;mentor_sozial_eingebunden_beobachtet;mentor_selbstwirksam_beobachtet;ziel_outcome_mentorinnen_sozial_eingebunden_selbstwirksam_unterstuetzt
TR0001;T002;28.04.2026;60;zuhause bei Mentor:in;Zukunftspläne;Jugendliche/r;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;vorbereitet;konkrete Zukunftsplaene geklaert;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0002;T002;27.05.2026;90;Park;Praktikumssuche;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;2;3;10;7;10;ja;vorbereitet;"Praktikumssuche oder Praktikumsplatz vorbereitet; Kontakt zu Unternehmen vorbereitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0003;T003;01.05.2026;60;Bibliothek;Berufsorientierung allgemein;Jugendliche/r;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;vorbereitet;Berufsorientierung bearbeitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0004;T003;26.06.2026;60;Bibliothek;freies Gespräch;Mentor:in;nichts Konkretes vereinbart;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;1;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0005;T005;14.04.2026;60;Jugendzentrum;Kennenlernen;Mentor:in;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0006;T005;17.06.2026;120;Jugendzentrum;gemeinsamer Spaziergang;Jugendliche/r;Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;vorbereitet;Kontakt zu Unternehmen vorbereitet;ja;nein;nein;3;4;33;ja;ja;ja;ja
TR0007;T006;18.04.2026;45;Park;Zukunftspläne;Mentor:in;Kontakt zu Unternehmen X herstellen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0008;T006;16.05.2026;120;Park;Lebenslauf besprochen;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;umgesetzt;"Praktikumssuche oder Praktikumsplatz vorbereitet; Lebenslauf erstellt oder verbessert";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0009;T006;01.06.2026;60;Jugendzentrum;Vorbereitung Vorstellungsgespräch;Mentor:in;gemeinsam Lebenslauf fertigstellen;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;1;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0010;T007;16.04.2026;120;online (Video-Call);Lebenslauf besprochen;Koordination (telefonisch berichtet);;ja;ja;April-Juni 2026;ja;130;ja;1;1;4;10;6;10;ja;umgesetzt;Lebenslauf erstellt oder verbessert;ja;ja;ja;3;4;33;ja;ja;nein;nein
