treffen_id;tandem_id;datum;treffen_durchgefuehrt
TR00612;T001;10.07.2026;ja
TR00613;T001;20.07.2026;ja
TR00614;T001;30.07.2026;ja
TR00615;T001;09.08.2026;ja
TR00616;T001;19.08.2026;ja
TR00617;T002;11.07.2026;ja
TR00618;T002;21.07.2026;ja
TR00619;T002;31.07.2026;ja
TR00620;T002;10.08.2026;ja
TR00621;T002;20.08.2026;ja
TR00622;T003;10.07.2026;ja
TR00623;T003;20.07.2026;ja
TR00624;T003;30.07.2026;ja
TR00625;T003;09.08.2026;ja
TR00626;T003;19.08.2026;ja
TR00627;T004;11.07.2026;ja
TR00628;T004;21.07.2026;ja
TR00629;T004;31.07.2026;ja
TR00630;T004;10.08.2026;ja
TR00631;T004;20.08.2026;ja
TR00632;T005;10.07.2026;ja
TR00633;T005;20.07.2026;ja
TR00634;T005;30.07.2026;ja
TR00635;T005;09.08.2026;ja
TR00636;T005;19.08.2026;ja
TR00637;T006;11.07.2026;ja
TR00638;T006;21.07.2026;ja
TR00639;T006;31.07.2026;ja
TR00640;T006;10.08.2026;ja
TR00641;T006;20.08.2026;ja
TR00642;T007;10.07.2026;ja
TR00643;T007;20.07.2026;ja
TR00644;T007;30.07.2026;ja
TR00645;T007;09.08.2026;ja
TR00646;T007;19.08.2026;ja
TR00647;T008;11.07.2026;ja
TR00648;T008;21.07.2026;ja
TR00649;T008;31.07.2026;ja
TR00650;T008;10.08.2026;ja
TR00651;T008;20.08.2026;ja
TR00652;T009;10.07.2026;ja
TR00653;T009;20.07.2026;ja
TR00654;T009;30.07.2026;ja
TR00655;T009;09.08.2026;ja
TR00656;T009;19.08.2026;ja
TR00657;T010;11.07.2026;ja
TR00658;T010;21.07.2026;ja
TR00659;T010;31.07.2026;ja
TR00660;T010;10.08.2026;ja
TR00661;T010;20.08.2026;ja
TR00662;T011;10.07.2026;ja
TR00663;T011;20.07.2026;ja
TR00664;T011;30.07.2026;ja
TR00665;T011;09.08.2026;ja
TR00666;T011;19.08.2026;ja
TR00667;T012;11.07.2026;ja
TR00668;T012;21.07.2026;ja
TR00669;T012;31.07.2026;ja
TR00670;T012;10.08.2026;ja
TR00671;T012;20.08.2026;ja
TR00672;T013;10.07.2026;ja
TR00673;T013;20.07.2026;ja
TR00674;T013;30.07.2026;ja
TR00675;T013;09.08.2026;ja
TR00676;T013;19.08.2026;ja
TR00677;T014;11.07.2026;ja
TR00678;T014;21.07.2026;ja
TR00679;T014;31.07.2026;ja
TR00680;T014;10.08.2026;ja
TR00681;T014;20.08.2026;ja
TR00682;T015;10.07.2026;ja
TR00683;T015;20.07.2026;ja
TR00684;T015;30.07.2026;ja
TR00685;T015;09.08.2026;ja
TR00686;T015;19.08.2026;ja
TR00687;T016;11.07.2026;ja
TR00688;T016;21.07.2026;ja
TR00689;T016;31.07.2026;ja
TR00690;T016;10.08.2026;ja
TR00691;T016;20.08.2026;ja
TR00692;T017;10.07.2026;ja
TR00693;T017;20.07.2026;ja
TR00694;T017;30.07.2026;ja
TR00695;T017;09.08.2026;ja
TR00696;T017;19.08.2026;ja
TR00697;T018;11.07.2026;ja
TR00698;T018;21.07.2026;ja
TR00699;T018;31.07.2026;ja
TR00700;T018;10.08.2026;ja
TR00701;T018;20.08.2026;ja
TR00702;T019;10.07.2026;ja
TR00703;T019;20.07.2026;ja
TR00704;T019;30.07.2026;ja
TR00705;T019;09.08.2026;ja
TR00706;T019;19.08.2026;ja
TR00707;T020;11.07.2026;ja
TR00708;T020;21.07.2026;ja
TR00709;T020;31.07.2026;ja
TR00710;T020;10.08.2026;ja
TR00711;T020;20.08.2026;ja
TR00712;T021;10.07.2026;ja
TR00713;T021;20.07.2026;ja
TR00714;T021;30.07.2026;ja
TR00715;T021;09.08.2026;ja
TR00716;T021;19.08.2026;ja
TR00717;T022;11.07.2026;ja
TR00718;T022;21.07.2026;ja
TR00719;T022;31.07.2026;ja
TR00720;T022;10.08.2026;ja
TR00721;T022;20.08.2026;ja
TR00722;T023;10.07.2026;ja
TR00723;T023;20.07.2026;ja
TR00724;T023;30.07.2026;ja
TR00725;T023;09.08.2026;ja
TR00726;T023;19.08.2026;ja
TR00727;T024;11.07.2026;ja
TR00728;T024;21.07.2026;ja
TR00729;T024;31.07.2026;ja
TR00730;T024;10.08.2026;ja
TR00731;T024;20.08.2026;ja
TR00732;T025;10.07.2026;ja
TR00733;T025;20.07.2026;ja
TR00734;T025;30.07.2026;ja
TR00735;T025;09.08.2026;ja
TR00736;T025;19.08.2026;ja
TR00737;T026;11.07.2026;ja
TR00738;T026;21.07.2026;ja
TR00739;T026;31.07.2026;ja
