workshop_id;workshop_datum;workshop_thema;jugend_id;teilgenommen;workshop_durchgefuehrt;zaehlt_als_erreichte_jugendliche;feedback_formular_abgegeben;programm_gesamt_workshops_durchgefuehrt_2026;ziel_output_24_workshops_durchgefuehrt_unterstuetzt;programm_gesamt_teilnehmende_jugendliche_erreicht_2026;ziel_output_140_teilnehmende_jugendliche_unterstuetzt
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J001;true;true;true;true;24;true;150;true
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J004;true;true;true;true;24;true;150;true
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J025;true;true;true;true;24;true;150;true
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J049;true;true;true;true;24;true;150;true
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J073;true;true;true;true;24;true;150;true
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J078;true;true;true;true;24;true;150;true
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J094;true;true;true;true;24;true;150;true
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J097;true;true;true;true;24;true;150;true
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J101;true;true;true;true;24;true;150;true
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J121;true;true;true;true;24;true;150;true
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J126;true;true;true;true;24;true;150;true
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J127;true;true;true;true;24;true;150;true
W01;2026-03-14;Berufliche Möglichkeiten erkunden;J145;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J002;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J026;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J040;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J050;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J054;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J074;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J088;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J096;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J098;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J108;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J122;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J125;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J131;true;true;true;true;24;true;150;true
W02;2026-03-21;Lebenslauf schreiben;J146;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J003;true;true;true;false;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J017;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J027;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J036;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J048;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J051;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J060;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J075;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J079;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J093;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J099;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J103;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J111;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J123;true;true;true;true;24;true;150;true
W03;2026-03-28;Anschreiben und Bewerbungsunterlagen;J147;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J004;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J007;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J010;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J028;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J031;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J039;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J043;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J052;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J075;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J076;true;true;true;false;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J084;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J085;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J100;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J124;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J143;true;true;true;true;24;true;150;true
W04;2026-04-04;Online-Bewerbungen und Portale;J148;true;true;true;true;24;true;150;true
W05;2026-04-11;Kommunikation und Auftreten;J005;true;true;true;true;24;true;150;true
W05;2026-04-11;Kommunikation und Auftreten;J011;true;true;true;true;24;true;150;true
W05;2026-04-11;Kommunikation und Auftreten;J013;true;true;true;true;24;true;150;true
W05;2026-04-11;Kommunikation und Auftreten;J019;true;true;true;true;24;true;150;true
