befragung_typ;zielgruppe;teilnehmer_id;befragung_status;antwort_datum;berufliche_klarheit_baseline_1_5;selbstsicherheit_uebergang_schule_beruf_baseline_1_5
baseline;jugendliche;J001;abgeschlossen;2026-02-06;2;2
baseline;jugendliche;J002;abgeschlossen;2026-02-07;3;3
baseline;jugendliche;J003;abgeschlossen;2026-02-08;3;3
baseline;jugendliche;J004;abgeschlossen;2026-02-09;3;2
baseline;jugendliche;J005;abgeschlossen;2026-02-10;4;3
baseline;jugendliche;J006;abgeschlossen;2026-02-11;2;3
baseline;jugendliche;J007;abgeschlossen;2026-02-12;3;3
baseline;jugendliche;J008;abgeschlossen;2026-02-13;3;3
baseline;jugendliche;J009;abgeschlossen;2026-02-14;3;3
baseline;jugendliche;J010;abgeschlossen;2026-02-15;4;2
baseline;jugendliche;J011;abgeschlossen;2026-02-16;2;3
baseline;jugendliche;J012;abgeschlossen;2026-02-17;3;3
baseline;jugendliche;J013;abgeschlossen;2026-02-18;3;2
baseline;jugendliche;J014;abgeschlossen;2026-02-19;3;4
baseline;jugendliche;J015;abgeschlossen;2026-02-20;4;3
baseline;jugendliche;J016;abgeschlossen;2026-02-21;2;2
baseline;jugendliche;J017;abgeschlossen;2026-02-22;3;3
baseline;jugendliche;J018;abgeschlossen;2026-02-23;3;3
baseline;jugendliche;J019;abgeschlossen;2026-02-24;3;2
baseline;jugendliche;J020;abgeschlossen;2026-02-25;4;3
baseline;jugendliche;J021;abgeschlossen;2026-02-26;2;4
baseline;jugendliche;J022;abgeschlossen;2026-02-27;3;2
baseline;jugendliche;J023;abgeschlossen;2026-02-28;3;3
baseline;jugendliche;J024;abgeschlossen;2026-03-01;3;3
baseline;jugendliche;J025;abgeschlossen;2026-03-02;4;2
baseline;jugendliche;J026;abgeschlossen;2026-03-03;2;3
baseline;jugendliche;J027;abgeschlossen;2026-03-04;3;3
baseline;jugendliche;J028;abgeschlossen;2026-03-05;3;3
baseline;jugendliche;J029;abgeschlossen;2026-03-06;3;3
baseline;jugendliche;J030;abgeschlossen;2026-03-07;4;3
baseline;jugendliche;J031;abgeschlossen;2026-03-08;2;2
baseline;jugendliche;J032;abgeschlossen;2026-03-09;3;3
baseline;jugendliche;J033;abgeschlossen;2026-03-10;3;3
baseline;jugendliche;J034;abgeschlossen;2026-03-11;3;2
baseline;jugendliche;J035;abgeschlossen;2026-03-12;4;4
baseline;jugendliche;J036;abgeschlossen;2026-03-13;2;3
baseline;jugendliche;J037;abgeschlossen;2026-03-14;3;2
baseline;jugendliche;J038;abgeschlossen;2026-03-15;3;3
baseline;jugendliche;J039;abgeschlossen;2026-03-16;3;3
baseline;jugendliche;J040;abgeschlossen;2026-03-17;4;2
baseline;jugendliche;J041;abgeschlossen;2026-03-18;2;3
baseline;jugendliche;J042;abgeschlossen;2026-03-19;3;4
baseline;jugendliche;J043;abgeschlossen;2026-03-20;3;2
baseline;jugendliche;J044;abgeschlossen;2026-03-21;3;3
baseline;jugendliche;J045;abgeschlossen;2026-03-22;4;3
baseline;jugendliche;J046;abgeschlossen;2026-03-23;2;2
baseline;jugendliche;J047;abgeschlossen;2026-03-24;3;3
baseline;jugendliche;J048;abgeschlossen;2026-03-25;3;3
baseline;jugendliche;J049;abgeschlossen;2026-03-26;3;3
baseline;jugendliche;J050;abgeschlossen;2026-03-27;4;3
baseline;jugendliche;J051;abgeschlossen;2026-03-28;2;3
baseline;jugendliche;J052;abgeschlossen;2026-03-29;3;2
baseline;jugendliche;J053;abgeschlossen;2026-03-30;3;3
baseline;jugendliche;J054;abgeschlossen;2026-03-31;3;3
baseline;jugendliche;J055;abgeschlossen;2026-04-01;4;2
baseline;jugendliche;J056;abgeschlossen;2026-04-02;2;4
baseline;jugendliche;J057;abgeschlossen;2026-04-03;3;3
baseline;jugendliche;J058;abgeschlossen;2026-04-04;3;2
baseline;jugendliche;J059;abgeschlossen;2026-04-05;3;3
baseline;jugendliche;J060;abgeschlossen;2026-04-06;4;3
baseline;jugendliche;J061;abgeschlossen;2026-04-07;2;2
baseline;jugendliche;J062;abgeschlossen;2026-04-08;3;3
baseline;jugendliche;J063;abgeschlossen;2026-04-09;3;4
baseline;jugendliche;J064;abgeschlossen;2026-04-10;3;2
baseline;jugendliche;J065;abgeschlossen;2026-04-11;4;3
baseline;jugendliche;J066;abgeschlossen;2026-04-12;2;3
baseline;jugendliche;J067;abgeschlossen;2026-04-13;3;2
baseline;jugendliche;J068;abgeschlossen;2026-04-14;3;3
baseline;jugendliche;J069;abgeschlossen;2026-04-15;3;3
baseline;jugendliche;J070;abgeschlossen;2026-04-16;4;3
baseline;jugendliche;J071;abgeschlossen;2026-04-17;2;3
baseline;jugendliche;J072;abgeschlossen;2026-04-18;3;3
baseline;jugendliche;J073;abgeschlossen;2026-04-19;3;2
baseline;jugendliche;J074;abgeschlossen;2026-04-20;3;3
baseline;jugendliche;J075;abgeschlossen;2026-04-21;4;3
baseline;jugendliche;J076;abgeschlossen;2026-04-22;2;2
